MIDAS ID, Legacy MIDAS ID, Site Name,,,,,,,,,
1CA11B60B214133BE053812011AC9DD8,30036462,MIDAS site at A1/2951A priority 1 on link 200127568; GPS Ref: 448599;418316; Northbound,,,,,,,,,
,,,,,,,,,,,
Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, Network Link Id, NTIS Model Version
2023/1/1,0:14:00,14,31,25,2,0,4,104.43,15,200127568,17
2023/1/1,0:29:00,14,38,31,3,1,3,106.55,15,200127568,17
2023/1/1,0:44:00,14,43,38,3,0,2,103.89,15,200127568,17
2023/1/1,0:59:00,14,55,50,1,1,3,105.47,15,200127568,17
2023/1/1,1:14:00,14,33,31,0,0,2,106.2,15,200127568,17
2023/1/1,1:29:00,14,45,38,4,0,3,98.86,15,200127568,17
2023/1/1,1:44:00,14,35,33,1,0,1,101.02,15,200127568,17
2023/1/1,1:59:00,14,41,32,4,0,5,101.43,15,200127568,17
2023/1/1,2:14:00,14,44,32,3,2,7,99.09,15,200127568,17
2023/1/1,2:29:00,14,27,20,1,1,5,100.72,15,200127568,17
2023/1/1,2:44:00,14,29,17,5,1,6,97.27,15,200127568,17
2023/1/1,2:59:00,14,25,19,1,1,4,100.52,15,200127568,17
2023/1/1,3:14:00,14,27,21,1,0,5,98.89,15,200127568,17
2023/1/1,3:29:00,14,27,21,3,0,3,102.54,15,200127568,17
2023/1/1,3:44:00,14,23,16,2,0,5,102.41,15,200127568,17
2023/1/1,3:59:00,14,23,15,1,0,7,96.76,15,200127568,17
2023/1/1,4:14:00,14,22,17,0,1,4,101.35,15,200127568,17
2023/1/1,4:29:00,14,28,24,0,1,3,100.72,15,200127568,17
2023/1/1,4:44:00,14,23,18,1,0,4,102.88,15,200127568,17
2023/1/1,4:59:00,14,25,16,2,2,5,97.23,15,200127568,17
2023/1/1,5:14:00,14,36,24,4,3,5,103.58,15,200127568,17
2023/1/1,5:29:00,14,31,22,3,2,4,100.24,15,200127568,17
2023/1/1,5:44:00,14,37,29,2,1,5,109.11,15,200127568,17
2023/1/1,5:59:00,14,33,24,0,1,8,101.11,15,200127568,17
2023/1/1,6:14:00,14,51,43,1,0,7,104.97,15,200127568,17
2023/1/1,6:29:00,14,64,51,3,0,10,101.3,15,200127568,17
2023/1/1,6:44:00,14,48,32,6,2,8,103.24,15,200127568,17
2023/1/1,6:59:00,14,39,32,2,0,5,103.67,15,200127568,17
2023/1/1,7:14:00,14,53,34,4,2,13,99.27,15,200127568,17
